MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Willy Wonka & the Chocolate Factory,-1971,Family$ Fantasy$ Musical,7.8,186202,100,$4.00M
Fantasy Island,-2020,Action$ Adventure$ Fantasy,4.9,41744,109,
Doc Martin,(2004– ),Comedy$ Drama$ Romance,8.3,13580,46,
Homefront,(I) (2013),Action$ Crime$ Thriller,6.5,113476,100,$20.16M
The Power of the Dog,-2021,Drama$ Romance$ Western,,,125,
Dead Poets Society,-1989,,8.1,443357,128,$95.86M
Contratiempo,-2016,Crime$ Drama$ Mystery,8.1,157061,106,
There's Something About Mary,-1998,,7.1,298729,119,$176.48M
Trailer Park Boys,(2001–2018),,8.5,38861,30,
Binsenjo,(2021– ),Comedy$ Crime$ Romance,8.5,7888,80,
Full House,(1987–1995),Comedy$ Drama$ Family,6.7,54419,22,
The OA,(2016–2019),Drama$ Fantasy$ Mystery,7.8,94862,60,
Lucy,(I) (2014),Action$ Sci-Fi$ Thriller,6.4,462122,89,$126.66M
Will & Grace,(1998–2020),,7.2,52269,22,
Luke Cage,(2016–2018),Action$ Crime$ Drama,7.3,120187,55,
GLOW,(2017–2019),Comedy$ Drama$ Sport,8,42221,35,
Wet Hot American Summer: Ten Years Later,-2017,,6.9,7784,216,
The Mummy,-2017,Action$ Adventure$ Fantasy,5.4,177592,110,$80.10M
When They See Us,-2019,Biography$ Crime$ Drama,8.9,102201,296,
45495,-2018,Crime$ Drama$ History,6.8,30905,143,
When Calls the Heart,(2014– ),Drama$ Family$ Romance,8.1,11306,43,
A Series of Unfortunate Events,(2017–2019),Adventure$ Comedy$ Drama,7.8,55753,50,
Birdman or (The Unexpected Virtue of Ignorance),-2014,,7.7,595946,119,$42.34M
RuPaul's Drag Race All Stars,(2012– ),Game-Show$ Reality-TV,8.5,6644,60,
Sophie: A Murder in West Cork,-2021,Documentary$ Crime$ History,6.9,3235,164,
Knock Knock,(I) (2015),Drama$ Thriller,4.9,87474,99,$0.04M
Madam Secretary,(2014–2019),,7.6,20755,45,
Hauru no ugoku shiro,-2004,Animation$ Adventure$ Family,8.2,351466,119,$4.71M
The Alienist,(2018–2020),Crime$ Drama$ Mystery,7.7,48646,60,
Now You See Me,(I) (2013),Crime$ Mystery$ Thriller,7.2,614056,115,$117.72M
Hell's Kitchen,(2005– ),Game-Show$ Reality-TV,7.1,19419,42,
The Ballad of Buster Scruggs,-2018,Comedy$ Drama$ Musical,7.3,130664,133,
The Lost World: Jurassic Park,-1997,Action$ Adventure$ Sci-Fi,6.6,390425,129,$229.09M
The Politician,(2019– ),,7.5,19735,42,
Marco Polo,(2014–2016),Adventure$ Drama$ History,8,67083,60,
Tattoo Redo,(2021– ),Reality-TV,5.6,232,,
Shameless,(2004–2013),Comedy$ Crime$ Drama,8,15630,90,
Top Gear,(2002– ),Adventure$ Comedy$ Reality-TV,8.6,111345,60,
Vanquish,-2021,Action$ Crime$ Thriller,2.7,3010,94,
Sweet Magnolias,(2020– ),,7.4,10096,,
Geostorm,-2017,Action$ Sci-Fi$ Thriller,5.3,99724,109,$33.70M
The Bureau of Magical Things,(2018– ),Family$ Fantasy$ Mystery,6.8,1349,25,
Rojst,(2018– ),Crime$ Drama$ Thriller,7,3471,50,
Sausage Party,-2016,Animation$ Adventure$ Comedy,6.1,181775,89,$97.69M
A Futile and Stupid Gesture,-2018,,6.8,14676,101,
Eurovision Song Contest: The Story of Fire Saga,-2020,,6.5,84242,123,
Russian Doll,(2019– ),Adventure$ Comedy$ Drama,7.9,72588,30,
Sa-rang-eui bul-sa-chak,(2019–2020),Adventure$ Comedy$ Romance,8.7,16879,70,
The Next Three Days,-2010,Action$ Crime$ Drama,7.3,189815,133,$21.15M
Maniac,-2018,Comedy$ Drama$ Sci-Fi,7.8,69384,386,
Moonlight,(I) (2016),,7.4,285273,111,$27.85M
In the Heart of the Sea,-2015,Action$ Adventure$ Biography,6.9,128605,122,$25.02M
The Babysitter: Killer Queen,-2020,,5.8,31220,101,
Final Space,(2018– ),Animation$ Action$ Adventure,8.3,36443,30,
Into the Badlands,(2015–2019),Action$ Adventure$ Drama,8,43147,42,
Firefly Lane,(2021– ),,7.4,16674,,
Manhunt,(II) (2017– ),Biography$ Crime$ Drama,8.1,54164,60,
Kingdom,(2014–2017),,8.5,16565,43,
Wet Hot American Summer: First Day of Camp,-2015,,7.4,22906,30,
Rebecca,(I) (2020),Drama$ Mystery$ Romance,6,35836,123,
Master of None,(2015– ),,8.3,70472,30,
The Stranger,(I) (2020),Crime$ Drama$ Mystery,7.3,38697,363,
Contact,-1997,Drama$ Mystery$ Sci-Fi,7.5,261289,150,$100.92M
The Kissing Booth,-2018,,6,72207,105,
Top Boy,(2011– ),Crime$ Drama$ Thriller,8.4,14832,60,
Climax,(I) (2018),Drama$ Horror$ Music,7,58051,97,$0.80M
Vivo,(I) (2021),Animation$ Adventure$ Comedy,7.3,27,95,
Gods of Egypt,-2016,Action$ Adventure$ Fantasy,5.4,109959,127,$31.15M
Mank,-2020,Biography$ Comedy$ Drama,6.9,63893,131,
Bleach: Burîchi,(2004–2012),Animation$ Action$ Adventure,8.1,46537,24,
¿Quién Mató a Sara?,(2021– ),Crime$ Drama$ Mystery,6.4,10387,,
X-Ray: Selected Satyajit Shorts,(2021– ),Crime$ Drama$ Thriller,7.2,7023,65,
The Dirt,-2019,Biography$ Comedy$ Drama,7,43022,107,
The Real Housewives of Beverly Hills,(2010– ),Reality-TV,5.1,5326,44,
Gerald's Game,-2017,Drama$ Horror$ Thriller,6.5,95660,103,
Outlaw King,-2018,Action$ Biography$ Drama,6.9,64076,121,
Another Life,(2019– ),Adventure$ Drama$ Mystery,5,25983,43,
Crazy Ex-Girlfriend,(2015–2019),Comedy$ Musical,7.8,17902,42,
Yakusoku no Neverland,(2019–2021),Animation$ Adventure$ Drama,8.5,28438,23,
He's All That,-2021,Comedy$ Romance,,,,
High School DxD,(2012–2018),Animation$ Action$ Comedy,7.6,8085,23,
Fuller House,(2016–2020),Comedy$ Family,6.7,25578,30,
Thunder Force,-2021,Action$ Adventure$ Comedy,4.4,35640,106,
The Midnight Sky,-2020,Drama$ Fantasy$ Sci-Fi,5.6,75985,118,
Breach,(IV) (2020),Action$ Horror$ Sci-Fi,3.1,10958,92,
Rosemary's Baby,-1968,Drama$ Horror,8,201472,137,
Below Deck,(2013– ),Reality-TV,7.3,2222,43,
Kung Fu Panda 3,-2016,Animation$ Action$ Adventure,7.1,141657,95,$143.53M
Bright,(I) (2017),Action$ Fantasy$ Thriller,6.3,175334,117,
H2O: Just Add Water,(2006–2010),Drama$ Family$ Fantasy,7.2,13458,23,
Colony,(2016–2018),Action$ Adventure$ Drama,7.4,32620,42,
Deep,-2021,Drama$ Mystery$ Sci-Fi,4.9,738,101,
From Dusk Till Dawn: The Series,(2014–2016),Action$ Crime$ Fantasy,6.9,19559,45,
Ender's Game,-2013,Action$ Adventure$ Fantasy,6.6,228812,114,$61.74M
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,(2006–2012),Animation$ Action$ Drama,8.7,55979,24,
Alice in Borderland,(2020– ),Action$ Fantasy$ Mystery,7.7,22347,50,
Planet of the Apes,-1968,Adventure$ Sci-Fi,8,170681,112,$33.40M
Shot Caller,-2017,Crime$ Drama$ Thriller,7.3,77040,121,
Ash vs Evil Dead,(2015–2018),Action$ Comedy$ Horror,8.4,67180,30,
Pieces of a Woman,-2020,Drama,7.1,41856,126,
Yes Day,-2021,Comedy$ Family,5.7,19062,86,
The Ritual,(I) (2017),Horror$ Mystery$ Thriller,6.3,84230,94,
Force of Nature,-2020,Action$ Crime$ Drama,4.5,9016,91,
Downsizing,-2017,Drama$ Fantasy$ Sci-Fi,5.7,102222,135,$24.45M
Fruits Basket,(2019–2021),Animation$ Comedy$ Drama,8.6,3549,24,
Murder Mystery,-2019,Action$ Comedy$ Crime,6,110725,97,
Poketto monsutâ,(1997– ),Animation$ Action$ Adventure,7.5,39553,24,
Cursed,-2020,Adventure$ Drama$ Fantasy,5.9,25954,60,
Lone Survivor,-2013,Action$ Biography$ Drama,7.5,273061,121,$125.10M
Extremely Wicked$ Shockingly Evil and Vile,-2019,Biography$ Crime$ Drama,6.7,84387,110,
Henry Danger,(2014–2020),Action$ Comedy$ Family,5.7,3933,30,
Under the Dome,(2013–2015),Drama$ Mystery$ Sci-Fi,6.6,102725,43,
The Founder,-2016,Biography$ Drama,7.2,134759,115,$12.79M
Mononoke-hime,-1997,Animation$ Action$ Adventure,8.4,359473,134,$2.38M
Space Force,(2020– ),Comedy,6.7,49116,30,
Timeless,(2016–2018),Action$ Adventure$ Drama,7.7,38791,60,
Seutateueob,(2020– ),Comedy$ Drama$ Romance,8.1,5778,80,
La catedral del mar,-2018,Drama$ History,7.5,3574,55,
Beckett,-2021,Action$ Crime$ Drama,,,108,
Triple Frontier,-2019,Action$ Adventure$ Crime,6.4,115059,125,
Fondeados,-2021,Comedy,4.2,161,97,
Sweet Home,(2020– ),Drama$ Fantasy$ Horror,7.4,12428,52,
101 Dalmatians,-1996,Adventure$ Comedy$ Crime,5.7,106580,103,$136.19M
Warrior Nun,(2020– ),Action$ Drama$ Fantasy,6.9,24525,,
The Irregulars,-2021,Crime$ Drama$ Fantasy,5.9,12624,,
Party of Five,(1994–2000),Drama$ Family,6.8,9709,60,
Lilyhammer,(2012–2014),Comedy$ Crime$ Drama,8,27587,45,
Frontier,(2016–2018),Adventure$ Drama$ History,7.2,18202,60,
El Cartel de los Sapos - El Origen,(2021– ),Crime$ Drama,5.5,26,,
Rampage,-2018,Action$ Adventure$ Sci-Fi,6.1,151688,107,$101.03M
The Croods,-2013,Animation$ Adventure$ Comedy,7.2,200206,98,$187.17M
Safe,-2018,Crime$ Drama$ Mystery,7.3,34984,356,
The Firm,-1993,Drama$ Mystery$ Thriller,6.8,124972,154,$158.35M
Fauda,(2015– ),Action$ Drama$ Thriller,8.2,21689,60,
The Clovehitch Killer,-2018,Crime$ Drama$ Mystery,6.6,21572,109,$0.01M
Serebryanye konki,-2020,Adventure$ Drama$ Family,7.1,3082,130,
The Last Dance,-2020,Documentary$ Biography$ History,9.1,93041,491,
Death Wish,-2018,Action$ Crime$ Drama,6.3,68094,107,$34.02M
We Can Be Heroes,(II) (2020),Action$ Comedy$ Drama,4.7,12202,100,
The Blues Brothers,-1980,Action$ Adventure$ Comedy,7.9,188459,133,$57.23M
The Highwaymen,-2019,Biography$ Crime$ Drama,6.9,81703,132,
Unknown,(I) (2011),Action$ Mystery$ Thriller,6.8,253999,113,$63.69M
Father of the Bride Part 3 (ish),-2020,Short$ Family,7,669,26,
Somos.,-2021,Crime$ Drama$ History,7.2,726,55,
Hunt for the Wilderpeople,-2016,Adventure$ Comedy$ Drama,7.9,118166,101,$5.20M
Eliza Graves,-2014,Drama$ Horror$ Thriller,6.8,53438,112,
Shin seiki evangerion,(1995–1996),Animation$ Action$ Drama,8.5,55618,24,
Monty Python and the Holy Grail,-1975,Adventure$ Comedy$ Fantasy,8.2,513289,91,$1.23M
Unorthodox,-2020,Drama,8,65121,53,
What Happened to Monday,-2017,Action$ Crime$ Fantasy,6.9,112557,123,
The Society,-2019,Drama$ Mystery$ Sci-Fi,7.1,23081,58,
12 Monkeys,(2015–2018),Adventure$ Drama$ Mystery,7.7,42021,42,
Dirk Gently's Holistic Detective Agency,(2016–2017),Action$ Adventure$ Comedy,8.2,45519,60,
The Best of Enemies,-2019,Biography$ Drama$ History,7.2,13196,133,$10.21M
Sword Art Online,(2012– ),Animation$ Action$ Adventure,7.6,39325,24,
His House,-2020,Drama$ Horror$ Thriller,6.5,32061,93,
Troy: Fall of a City,(2018– ),Action$ Adventure$ Fantasy,3.8,12889,60,
Impractical Jokers,(2011– ),Comedy$ Reality-TV,8.5,35544,30,
Unbreakable Kimmy Schmidt,(2015–2019),Comedy,7.6,65718,30,
The Harder They Fall,-2021,Drama$ Western,,,,
Atomic Blonde,-2017,Action$ Thriller,6.7,182505,115,$51.69M
Rango,-2011,Animation$ Adventure$ Comedy,7.2,245778,107,$123.48M
The Defenders,-2017,Action$ Adventure$ Crime,7.3,94589,50,
The Lucky One,-2012,Drama$ Mystery$ Romance,6.5,103765,101,$60.46M
Hush,(I) (2016),Horror$ Thriller,6.6,112354,82,
The Order,(2019–2020),Drama$ Fantasy$ Horror,6.8,23592,60,
Santa Clarita Diet,(2017–2019),Comedy$ Horror,7.8,60032,30,
Hillbilly Elegy,-2020,Drama,6.7,37137,116,
Insatiable,(2018–2019),Comedy$ Drama$ Thriller,6.5,24221,45,
Spy Kids,-2001,Action$ Adventure$ Comedy,5.5,111413,88,$112.72M
The Boondocks,(2005–2014),Animation$ Action$ Comedy,8.4,27816,22,
White House Down,-2013,Action$ Drama$ Thriller,6.3,211395,131,$73.10M
Hemlock Grove,(2013–2015),Drama$ Fantasy$ Horror,7.1,37861,46,
Mighty Morphin Power Rangers,(1993–1996),Action$ Adventure$ Family,6.5,20874,30,
Love Island,(II) (2019– ),Reality-TV,5,615,,
Gilmore Girls: A Year in the Life,-2016,Comedy$ Drama,7.6,32877,370,
A Perfect Fit,-2021,Comedy$ Drama$ Romance,5.2,294,112,
The Human Centipede (First Sequence),-2009,Horror,4.4,75214,92,$0.18M
Explained,(2018– ),Documentary,8,7568,18,
Zenra kantoku,(2019– ),Biography$ Drama,7.7,5160,48,
Cars 3,-2017,Animation$ Adventure$ Comedy,6.7,83135,102,$152.90M
Southpaw,-2015,Action$ Crime$ Drama,7.4,223775,124,$52.42M
Disenchantment,(2018– ),Animation$ Action$ Adventure,7.2,51002,30,
The Kissing Booth 3,-2021,Comedy$ Romance,,,112,
The A-Team,-2010,Action$ Adventure$ Thriller,6.7,250321,117,$77.22M
In the Shadow of the Moon,-2019,Crime$ Mystery$ Sci-Fi,6.2,44980,115,
Steven Universe,(2013–2020),Animation$ Action$ Adventure,8.2,28064,11,
Outside the Wire,-2021,Action$ Adventure$ Fantasy,5.4,37342,114,
Below Her Mouth,-2016,Drama$ Romance,5.5,11129,94,
Girl From Nowhere,(2018– ),Crime$ Drama$ Fantasy,7.7,2703,45,
This Means War,-2012,Action$ Comedy$ Romance,6.3,179783,103,$54.76M
Shaft,-2019,Action$ Comedy$ Crime,6.4,48354,111,$21.36M
Lawrence of Arabia,-1962,Adventure$ Biography$ Drama,8.3,276605,228,$44.82M
Mars Attacks!,-1996,Comedy$ Sci-Fi,6.3,215049,106,$37.77M
Versailles,(2015–2018),Biography$ Drama$ History,7.9,14803,52,
Sweet Girl,-2021,Action$ Drama$ Thriller,,,96,
The Guernsey Literary and Potato Peel Pie Society,-2018,Drama$ Romance$ War,7.4,39672,124,
Steins;Gate,(2011–2015),Animation$ Comedy$ Drama,8.8,49834,24,
Beauty and the Beast,-1991,Animation$ Family$ Fantasy,8,425384,84,$218.97M
The SpongeBob Movie: Sponge on the Run,-2020,Animation$ Adventure$ Comedy,6,14375,91,
Finding Dory,-2016,Animation$ Adventure$ Comedy,7.3,250953,97,$486.30M
The Shannara Chronicles,(2016–2017),Adventure$ Fantasy$ Sci-Fi,7.2,56121,42,
The Wrong Missy,-2020,Comedy$ Romance,5.7,35070,90,
Kol,-2020,Crime$ Horror$ Mystery,7.1,23350,112,
Public Enemies,-2009,Biography$ Crime$ Drama,7,288097,140,$97.10M
A Second Chance: Rivals!,-2019,Drama$ Family$ Sport,5,218,89,
I Am Not Okay with This,-2020,Comedy$ Drama$ Fantasy,7.5,47433,30,
127 Hours,-2010,Biography$ Drama,7.5,357144,94,$18.34M
Army of the Dead: Lost Vegas,(2022– ),Animation$ Action$ Crime,,,,
Jurassic Park III,-2001,Action$ Adventure$ Sci-Fi,5.9,302292,92,$181.17M
Lovesick,(2014–2018),Comedy,8.1,17516,24,
Revenge,(II) (2017),Action$ Horror$ Thriller,6.4,39034,108,$0.10M
Total Recall,(I) (2012),Action$ Adventure$ Sci-Fi,6.2,244708,118,$58.88M
Happy Valley,(2014– ),Crime$ Drama,8.4,35283,58,
Barbarians,(2020– ),Action$ Adventure$ Drama,7.2,20051,280,
That Time I Got Reincarnated as a Slime,(2018– ),Animation$ Action$ Adventure,8.1,6084,25,
Vis a vis,(2015–2019),Drama$ Thriller,8.2,18606,53,
Footloose,-1984,Drama$ Music$ Romance,6.6,73935,107,$80.04M
Brand New Cherry Flavor,-2021,Drama$ Horror$ Mystery,,,,
Hell on Wheels,(2011–2016),Drama$ Western,8.3,48854,42,
Too Hot to Handle Brazil,(2021– ),Reality-TV$ Romance,5.4,124,,
Fairy Tail: Fearî teiru,(2009–2019),Animation$ Action$ Adventure,8,21958,24,
Brooklyn,-2015,Drama$ Romance,7.5,135157,117,$38.32M
Pinocchio,-2021,Animation$ Drama$ Family,,,,
On Becoming a God in Central Florida,-2019,Comedy,7.2,4580,46,
Child's Play,-2019,Drama$ Horror$ Sci-Fi,5.7,46932,90,$29.21M
The Danish Girl,-2015,Biography$ Drama$ Romance,7.1,171124,119,$11.11M
The Bad Batch,-2016,Action$ Horror$ Mystery,5.3,28243,118,$0.18M
Into the Night,(II) (2020– ),Drama$ Sci-Fi$ Thriller,7.1,23336,,
Shûmatsu no Valkyrie,(2021– ),Animation$ Action$ Adventure,6.2,3126,24,
Penguin Bloom,-2020,Drama,6.8,7309,95,
Je8ileui Bam,-2021,Horror$ Thriller,5.4,1797,115,
Now You See Me 2,-2016,Action$ Adventure$ Comedy,6.5,261079,129,$65.08M
Undercover,(2019– ),Crime$ Drama$ Thriller,7.8,12708,50,
Holidate,-2020,Comedy$ Romance,6.1,51143,104,
The Gift,(2019–2021),Drama$ Fantasy$ Mystery,7.2,19841,40,
Keeping Up with the Kardashians,(2006–2021),Drama$ Family$ Reality-TV,2.8,27754,44,
The Tourist,(I) (2010),Action$ Thriller,6,230565,103,$67.63M
The Emperor's New Groove,-2000,Animation$ Adventure$ Comedy,7.4,187523,78,$89.30M
Stateless,-2020,Drama,7.6,7693,316,
Rake,(2010–2018),Comedy$ Drama,8.5,6924,60,
Deepwater Horizon,-2016,Action$ Drama$ History,7.1,158184,107,$61.43M
Mob Psycho 100,(2016–2019),Animation$ Action$ Comedy,8.6,19553,24,
Blue Miracle,-2021,Adventure$ Biography$ Drama,6.7,4816,95,
3Below: Tales of Arcadia,(2018–2019),Animation$ Action$ Adventure,7.7,5095,24,
Finding 'Ohana,-2021,Action$ Adventure$ Comedy,6.1,8280,123,
1922,-2017,Crime$ Drama$ Horror,6.3,56699,102,
Hubie Halloween,-2020,Comedy$ Mystery,5.2,42044,103,
Hold the Dark,-2018,Action$ Drama$ Thriller,5.6,34753,125,
Boku dake ga inai machi,-2016,Animation$ Drama$ Fantasy,8.5,35113,264,
The Amazing World of Gumball,(2011–2019),Animation$ Adventure$ Comedy,8.2,24448,11,
The Dictator,-2012,Comedy,6.4,287003,83,$59.65M
Miss Fisher's Murder Mysteries,(2012–2015),Crime$ Drama$ Mystery,8.3,14457,60,
Saikojiman Gwaenchanha,-2020,Comedy$ Drama$ Romance,8.8,14079,70,
Julie and the Phantoms,(2020– ),Comedy$ Drama$ Family,8.5,7576,,
Green Room,-2015,Horror$ Thriller,7,112522,95,$3.22M
The Witcher: Nightmare of the Wolf,-2021,Animation$ Action$ Adventure,,,81,
Utopia,(I) (2013–2014),Drama$ Mystery$ Sci-Fi,8.4,43067,50,
The Post,-2017,Drama,7.2,141624,116,$81.90M
Dracula,-2020,Drama$ Horror,6.8,43668,270,
Spartacus,-1960,Adventure$ Biography$ Drama,7.9,128685,197,$30.00M
Tonari no Totoro,-1988,Animation$ Family$ Fantasy,8.2,305790,86,$1.11M
The Quick and the Dead,-1995,Action$ Romance$ Thriller,6.4,88608,107,$18.64M
I Am All Girls,-2021,Crime$ Drama$ Mystery,5.9,4331,107,
Project Power,-2020,Action$ Crime$ Sci-Fi,6,77538,113,
F Is for Family,(2015– ),Animation$ Comedy$ Drama,8,31263,30,
Salvation,(2017–2018),Drama$ Sci-Fi$ Thriller,7,19954,43,
Knocked Up,-2007,Comedy$ Romance,6.9,356979,129,$148.73M
The A List,(2018– ),Crime$ Drama$ Mystery,5.5,2333,25,
The Sandman,(2021– ),Action$ Adventure$ Drama,,,,
The White Tiger,-2021,Crime$ Drama,7.1,51960,125,
Fatal Attraction,-1987,Drama$ Thriller,6.9,79936,119,$156.65M
Malcolm & Marie,-2021,Drama$ Romance,6.7,30082,106,
Falling Inn Love,-2019,Comedy$ Romance,5.6,17284,98,
Bad Blood,(2017– ),Crime$ Drama,7.5,8238,47,
Dark Desire,(2020– ),Drama$ Mystery$ Thriller,6.4,4317,30,
Daybreak,(I) (2019),Action$ Adventure$ Comedy,6.7,17040,60,
Dreamgirls,-2006,Drama$ Music$ Musical,6.5,70985,130,$103.37M
Smokin' Aces,-2006,Action$ Comedy$ Crime,6.7,140790,109,$35.66M
Wu Assassins,-2019,Action$ Crime$ Drama,6.5,10655,44,
Serenity,-2019,Drama$ Mystery$ Thriller,5.4,38364,106,$8.55M
Time Trap,-2017,Action$ Adventure$ Mystery,6.3,32322,87,
Sorjonen,(2016–2020),Crime$ Drama$ Mystery,7.6,8460,60,
The Professor and the Madman,-2019,Biography$ Drama,7.3,39678,124,
The Gray Man,-2022,Action$ Thriller,,,,
Dynasty Warriors,-2021,Action$ Adventure$ Fantasy,4.8,1437,119,
Hotel Transylvania 3: Summer Vacation,-2018,Animation$ Adventure$ Comedy,6.3,62255,97,$167.51M
Xtremo,-2021,Action$ Crime$ Drama,5.8,3221,111,
Formula 1: Drive to Survive,(2019– ),Documentary$ Sport,8.6,26266,40,
Triple 9,-2016,Action$ Crime$ Thriller,6.3,69234,115,$12.63M
Blue Mountain State,(2010–2011),Comedy$ Sport,8.3,49898,22,
Dokutaa Sutoon,(2019– ),Animation$ Action$ Adventure,8.2,13258,23,
Knightfall,(2017–2019),Action$ Adventure$ Drama,6.8,17970,60,
Okja,-2017,Action$ Adventure$ Drama,7.3,111004,120,
On My Block,(2018– ),Comedy$ Drama,8,12097,30,
Ófærð,(2015– ),Crime$ Drama$ Mystery,8.1,17309,60,
Easy Rider,-1969,Adventure$ Drama,7.3,104511,95,$41.73M
Roman Empire,(2016– ),Documentary$ Biography$ Drama,7,6536,48,
Hollywood,-2020,Drama,7.5,32278,347,
A Walk to Remember,-2002,Drama$ Romance,7.3,203383,101,$41.23M
The Chair,(2021– ),Comedy$ Drama,,,30,
Moxie,-2021,Comedy$ Drama$ Music,6.7,20638,111,
Torchwood,(2006–2011),Action$ Drama$ Mystery,7.7,39266,50,
To All the Boys I've Loved Before,-2018,Comedy$ Drama$ Romance,7.1,94786,99,
The Silence,(II) (2019),Drama$ Horror$ Sci-Fi,5.3,40712,90,
Jurassic World: Camp Cretaceous,(2020– ),Animation$ Action$ Adventure,7.5,5414,24,
Lilo & Stitch,-2002,Animation$ Adventure$ Comedy,7.3,175052,85,$145.79M
Gypsy,-2017,Drama$ Thriller,6.8,14978,51,
Zone Blanche,(2017– ),Crime$ Drama$ Horror,7.5,8771,52,
Apostle,-2018,Drama$ Fantasy$ Horror,6.3,46866,130,
Breakfast at Tiffany's,-1961,Comedy$ Drama$ Romance,7.6,171297,115,
Operation Finale,-2018,Biography$ Drama$ History,6.6,36593,122,$17.61M
Le Guide de la famille parfaite,-2021,Comedy$ Drama,6.4,611,102,
Locke,-2013,Drama,7.1,140930,85,$1.36M
A Cinderella Story,-2004,Comedy$ Family$ Romance,5.9,82876,95,$51.44M
Glitch,(2015–2019),Drama$ Horror$ Sci-Fi,7.3,15882,45,
To Kill a Mockingbird,-1962,Crime$ Drama,8.3,301591,129,
Escape Plan,-2013,Action$ Thriller,6.7,233030,115,$25.13M
Alias Grace,-2017,Biography$ Crime$ Drama,7.7,28424,267,
Algoissjiman,(2021– ),Drama$ Romance,7.7,472,70,
Hachi: A Dog's Tale,-2009,Biography$ Drama$ Family,8.1,263445,93,
Bad Trip,-2021,Comedy,6.6,19931,86,
Sacred Games,(2018–2019),Action$ Crime$ Drama,8.6,80715,50,
Happy!,(2017–2019),Action$ Comedy$ Crime,8.2,35020,60,
Gi-eok-ui bam,-2017,Horror$ Mystery$ Thriller,7.5,24377,108,
Generazione 56K,(2021– ),Comedy$ Drama$ Romance,7.4,1200,30,
Geçen Yaz,-2021,Drama$ Romance,6.4,1663,101,
Staged,(2020–2021),Comedy$ Drama,8.6,5037,22,
Life of Brian,-1979,Comedy,8.1,378134,94,$20.05M
Control Z,(2020– ),Drama$ Thriller,6.9,5710,37,
Icarus,-2017,Documentary$ Sport,7.9,43265,120,
Blonde,(II) (2022),Biography$ Drama$ Romance,,,,
Trinkets,(2019–2020),Comedy$ Crime$ Drama,7.1,8312,30,
Criminal: UK,(2019– ),Crime$ Drama$ Thriller,7.6,15941,43,
Colombiana,-2011,Action$ Drama$ Thriller,6.4,97146,108,$36.67M
Resident Evil: The Final Chapter,-2016,Action$ Horror$ Sci-Fi,5.5,87437,107,$26.83M
The Whole Truth,-2016,Crime$ Drama$ Mystery,6.2,26541,93,
Death Note,(I) (2017),Action$ Crime$ Drama,4.4,79452,101,
Shigatsu wa kimi no uso,(2014–2015),Animation$ Drama$ Music,8.6,21095,23,
Collateral,-2018,Crime$ Drama$ Mystery,6.8,15562,230,
Hannah Montana,(2006–2011),Comedy$ Family$ Music,5.2,38015,23,
One Day at a Time,(2017–2020),Comedy$ Drama,8.2,14209,30,
Easy,(2016– ),Comedy,6.9,12779,30,
Wizards,-2020,Animation$ Action$ Adventure,8.2,2795,233,
The Poison Rose,-2019,Thriller,4.7,7413,98,
I Am Mother,-2019,Drama$ Mystery$ Sci-Fi,6.7,81421,113,
Man Like Mobeen,(2017– ),Comedy,8,1996,21,
Shtisel,(2013– ),Drama,8.6,5881,45,
My Octopus Teacher,-2020,Documentary,8.1,42025,85,
Dirty Grandpa,-2016,Comedy,5.9,117026,102,$35.59M
The Dragon Prince,(2018– ),Animation$ Adventure$ Drama,8.4,18512,26,
Late Night,-2019,Comedy$ Drama,6.5,33065,102,$15.50M
The Dark Crystal: Age of Resistance,-2019,Adventure$ Drama$ Family,8.4,22469,60,
The Ridiculous 6,-2015,Action$ Adventure$ Comedy,4.8,46072,119,
The Spy,-2019,Drama$ History,7.9,35965,53,
Tribes of Europa,(2021– ),Action$ Adventure$ Drama,6.8,10043,,
Deadly Class,(2018–2019),Action$ Adventure$ Comedy,7.6,15025,60,
#Saraitda,-2020,Action$ Drama$ Horror,6.3,30530,98,
The Duff,-2015,Comedy$ Romance,6.5,86929,101,$34.02M
Durante la tormenta,-2018,Drama$ Fantasy$ Mystery,7.4,47502,128,
You're Next,-2011,Horror$ Thriller,6.6,92232,95,$18.47M
Borgen,(2010– ),Drama,8.5,21123,58,
The Lincoln Lawyer,-2011,Crime$ Drama$ Mystery,7.3,222054,118,$58.01M
Pixels,-2015,Action$ Comedy$ Fantasy,5.5,135509,105,$78.75M
Lost Girls,-2020,Drama$ Mystery$ Thriller,6.1,18958,95,
The Ten Commandments,-1956,Adventure$ Drama,7.9,66532,220,$93.74M
Live by Night,-2016,Action$ Crime$ Drama,6.4,54010,129,$10.38M
Sabotage,-2014,Action$ Crime$ Drama,5.7,61545,109,$10.51M
Despicable Me 2,-2013,Animation$ Adventure$ Comedy,7.3,377936,98,$368.06M
Extinction,-2018,Action$ Drama$ Sci-Fi,5.8,49162,95,
Spartacus: Gods of the Arena,-2011,Action$ Adventure$ Biography,8.5,130057,331,
Oz the Great and Powerful,-2013,Adventure$ Family$ Fantasy,6.3,201707,130,$234.91M
Secret City,(2016–2019),Mystery$ Thriller,7.4,7001,49,
All the Bright Places,-2020,Drama$ Romance,6.5,24223,107,
Violet Evergarden,-2018,Animation$ Drama$ Fantasy,8.5,14942,24,
