MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Cobra Kai,(2018– ),Action$ Comedy$ Drama,41248.6,122268,30,
 Kingdom,(2019– ),Action$ Drama$ History,7.1,6388,92,
Gotham,(2014–2019),Action$ Crime$ Drama,7.8,216458,42,
Billions,(2016– ),,8.4,74094,60,
Agents of S.H.I.E.L.D.,(2013–2020),Action$ Adventure$ Drama,7.5,205119,45,
Don't Breathe,-2016,Crime$ Horror$ Thriller,7.1,237601,88,$89.22M
The Ice Road,-2021,Action$ Adventure$ Drama,5.6,20561,109,
Arrow,(2012–2020),Action$ Adventure$ Crime,7.5,414712,42,
Orange Is the New Black,(2013–2019),Comedy$ Crime$ Drama,8,284554,59,
Gossip Girl,(2007–2012),Drama$ Romance,7.4,159666,42,
Bridgerton,(2020– ),,7.3,83944,60,
The Kominsky Method,(2018–2021),,8.2,33440,30,
Homeland,(2011–2020),Crime$ Drama$ Mystery,8.3,322307,55,
Riverdale,(2017– ),Crime$ Drama$ Mystery,6.8,126112,45,
Sherlock,(2010–2017),Crime$ Drama$ Mystery,9.1,839029,88,
La cocinera de Castamar,-2021,,7.4,1336,,
Queen of the South,(2016–2021),Action$ Crime$ Drama,8,23318,42,
CSI: Crime Scene Investigation,(2000–2015),Crime$ Drama$ Mystery,7.6,78589,60,
The Umbrella Academy,(2019– ),Action$ Adventure$ Comedy,41348,175513,60,
Supergirl,(2015–2021),Action$ Adventure$ Drama,6.2,115373,43,
BoJack Horseman,(2014–2020),Animation$ Comedy$ Drama,8.7,124318,25,
The Lord of the Rings: The Fellowship of the Ring,-2001,Action$ Adventure$ Drama,8.8,1713028,178,$315.54M
I Think You Should Leave with Tim Robinson,(2019– ),,7.8,8095,16,
South Park,(1997– ),,8.7,340148,22,
Once Upon a Time,(2011–2018),Adventure$ Fantasy$ Romance,7.7,212616,60,
Star Trek: Discovery,(2017– ),Action$ Adventure$ Drama,7.2,101079,60,
Teen Wolf,(2011–2017),Action$ Drama$ Fantasy,7.6,132950,41,
How to Get Away with Murder,(2014–2020),Crime$ Drama$ Mystery,8.1,136135,43,
Star Trek: Deep Space Nine,(1993–1999),Action$ Adventure$ Drama,8,55687,45,
Seinfeld,(1989–1998),,8.8,264801,22,
Spartacus: Blood and Sand,(2010–2013),Action$ Adventure$ Biography,41348.5,228484,55,
Hawaii Five-0,(2010–2020),Action$ Crime$ Drama,7.3,68627,42,
Good Witch,(2015–2021),Comedy$ Drama$ Fantasy,7.3,8268,48,
The Sinner,(2017– ),Crime$ Drama$ Mystery,7.9,96901,45,
Arrested Development,(2003–2019),,8.7,284373,22,
Escape Room,(I) (2019),Action$ Adventure$ Horror,6.4,99351,99,$57.01M
You,(2018– ),Crime$ Drama$ Romance,7.7,157666,45,
Mindhunter,(2017–2019),Crime$ Drama$ Thriller,8.6,235694,60,
Jaws,-1975,,8,558731,124,$260.00M
Avatar: The Last Airbender,(2005–2008),Animation$ Action$ Adventure,9.3,265845,23,
The Punisher,(2017–2019),Action$ Crime$ Drama,8.5,194777,53,
Star Trek: Voyager,(1995–2001),Action$ Adventure$ Sci-Fi,7.8,61917,44,
The Departed,-2006,Crime$ Drama$ Thriller,8.5,1227522,151,$132.38M
Narcos,(2015–2017),Biography$ Crime$ Drama,8.8,375261,49,
The Serpent,-2021,Crime$ Drama$ Thriller,7.6,33936,58,
Star Wars: The Clone Wars,(2008–2020),Animation$ Action$ Adventure,4238.3,71904,23,
Murder$ She Wrote,(1984–1996),Crime$ Drama$ Mystery,7,20330,50,
Fatherhood,-2021,,6.7,26508,109,
Blue Bloods,(2010– ),Crime$ Drama$ Mystery,7.6,34064,43,
Heist,(2021– ),Documentary$ Crime$ Mystery,6.8,846,41,
The Woman in the Window,-2021,Crime$ Drama$ Mystery,5.7,57048,100,
Black Summer,(2019– ),Action$ Drama$ Horror,6.5,25453,40,
Katla,(2021– ),Drama$ Mystery$ Sci-Fi,7.1,8391,,
Gone Girl,-2014,Drama$ Mystery$ Thriller,8.1,895888,149,$167.77M
Jumanji: Welcome to the Jungle,-2017,Action$ Adventure$ Comedy,6.9,337900,119,$404.52M
American Psycho,-2000,Comedy$ Crime$ Drama,7.6,517014,101,$15.07M
House of Cards,(2013–2018),,8.7,476656,51,
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),Animation$ Action$ Adventure,7.7,8300,20,
Mayor Grom: Chumnoy Doktor,-2021,,6.3,8466,136,
Demon Slayer: Kimetsu No Yaiba,(2019– ),Animation$ Action$ Fantasy,8.7,46259,25,
Jane the Virgin,(2014–2019),,7.8,41758,60,
The Good Wife,(2009–2016),Crime$ Drama$ Mystery,8.3,70021,43,
The Good Place,(2016–2020),Comedy$ Drama$ Fantasy,8.2,127417,22,
The Americans,(2013–2018),Crime$ Drama$ Mystery,52358.4,88962,44,
Glee,(2009–2015),Comedy$ Drama$ Music,6.7,139934,44,
Bo Burnham: Inside,(2021 TV Special),Comedy$ Drama$ Music,8.7,31108,87,
Kill Bill: Vol. 1,-2003,Action$ Crime$ Drama,8.1,1034554,111,$70.10M
Bartkowiak,-2021,Action$ Crime$ Sport,5,398,91,
Castlevania,(2017–2021),Animation$ Action$ Adventure,8.3,51802,23,
300,-2006,,7.6,751815,117,$210.61M
Dawson's Creek,(1998–2003),,6.6,38117,60,
It,(I) (2017),Horror,7.3,480607,135,$327.48M
Pretty Little Liars,(2010–2017),Drama$ Mystery$ Romance,7.4,155875,44,
Star Trek,(1966–1969),Action$ Adventure$ Sci-Fi,8.3,76213,50,
Archer,(2009– ),Animation$ Action$ Comedy,8.6,141784,22,
Spider-Man: Far from Home,-2019,Action$ Adventure$ Sci-Fi,7.5,363012,129,$390.53M
Twin Peaks,(1990–1991),Crime$ Drama$ Mystery,8.8,182173,47,
The Mitchells vs the Machines,-2021,Animation$ Adventure$ Comedy,7.7,69482,113,
The Bold Type,(2017–2021),,7.9,16183,45,
Love$ Death & Robots,(2019– ),Animation$ Short$ Comedy,8.5,120364,15,
Hostage House,-2021,Thriller,3.7,315,85,
The Hobbit: An Unexpected Journey,-2012,,5427.8,774632,169,$303.00M
Clueless,-1995,,6.8,194461,97,$56.63M
Ray Donovan,(2013–2020),,8.3,79618,60,
Transformers: War for Cybertron,(2020–2021),Animation$ Action$ Adventure,7.4,2923,30,
Baywatch,-2017,Action$ Comedy$ Crime,5.5,170844,116,$58.06M
Trollhunters,(2016–2018),Animation$ Action$ Adventure,8.4,14759,23,
Snowpiercer,(2020– ),Action$ Drama$ Sci-Fi,6.9,39433,60,
Workin' Moms,(2017– ),,7.7,12896,30,
The Devil All the Time,-2020,Crime$ Drama$ Thriller,7.1,108684,138,
Broadchurch,(2013–2017),Crime$ Drama$ Mystery,8.4,100611,48,
Fast & Furious 7,-2015,Action$ Adventure$ Thriller,7.1,371194,137,$353.01M
L.A.'s Finest,(2019–2020),Action$ Comedy$ Crime,6,5667,60,
Good on Paper,-2021,,5.6,8099,92,
Iron Fist,(2017–2018),Action$ Adventure$ Crime,6.5,118859,55,
Too Hot to Handle,(2020– ),Game-Show$ Reality-TV$ Romance,4.6,10008,40,
Haseen Dillruba,-2021,Crime$ Drama$ Mystery,6.9,18149,135,
Hannibal,(2013–2015),Crime$ Drama$ Horror,8.5,236161,44,
Longmire,(2012–2017),Action$ Crime$ Drama,8.3,30685,60,
Sicario,-2015,Action$ Crime$ Drama,5257.6,387903,121,$46.89M
The Fall,(I) (2013–2016),Crime$ Drama$ Thriller,8.1,89590,60,
The Irishman,-2019,Biography$ Crime$ Drama,7.8,345455,209,$7.00M
Jujutsu Kaisen,(2020– ),Animation$ Action$ Adventure,8.7,25386,24,
The Lord of the Rings: The Return of the King,-2003,Action$ Adventure$ Drama,8.9,1691777,201,$377.85M
Baby Driver,-2017,Action$ Crime$ Drama,7.6,468655,113,$107.83M
Dynasty,(2017– ),,7.3,16666,42,
Spider-Man,-2002,Action$ Adventure$ Sci-Fi,7.3,709684,121,$403.71M
Jumanji: The Next Level,-2019,Action$ Adventure$ Comedy,6.7,205638,123,$316.83M
I Care a Lot,-2020,Comedy$ Crime$ Thriller,6.3,109059,118,
Love and Monsters,(I) (2020),Action$ Adventure$ Comedy,7,100693,109,
Awake,(III) (2021),Action$ Adventure$ Drama,4.8,16262,96,
The Haunting of Hill House,-2018,Drama$ Horror$ Mystery,8.6,195117,572,
